date,Ahvaz,Arak,Ardabil,Bandar `Abbas,Bandar-e Bushehr,Birjand,Bojnurd,Esfahan,Gorgan,Hamadan,Ilam,Karaj,Kermanshah,Kerman,Khorramabad,Mashhad,Orumiyeh,Qazvin,Qom,Rasht,Sanandaj,Sari,Semnan,Shahr-e Kord,Shiraz,Tabriz,Tehran,Yasuj,Yazd,Zahedan,Zanjan
1902-03-16 00:00:00,32,66.09999847,57.10000229,35.20000076,5,36.29999924,42.79999924,34.20000076,31.20000076,60.79999924,84.09999847,45,84.40000153,31,51.70000076,46.29999924,49.60000229,47.29999924,52.79999924,145.8000031,77.90000153,37.40000153,31.20000076,70.30000305,40,52.90000153,39.79999924,55.40000153,35.5,20,47.79999924
1902-04-16 00:00:00,21.5,72.09999847,65.40000153,12.90000057,8.600000381,33.5,51.5,26.60000038,30.70000076,81.90000153,93.40000153,63.10000229,74.80000305,19.80000114,78.40000153,24.70000076,53,84.80000305,46.5,198.9000092,73.09999847,31.10000038,50.10000229,55,37.29999924,66.20000458,62.79999924,52,21.10000038,15.40000057,83.20000458
1902-05-16 00:00:00,2.900000095,7.599999905,64.90000153,5.200000286,0,9.699999809,13.19999981,0.300000012,14.60000038,15.5,176.8000031,3,36.40000153,7.800000191,15.40000057,0.800000012,40.70000076,14.30000019,0.699999988,123,42.20000076,5.700000286,3.400000095,1.100000024,1.700000048,53.70000076,2.400000095,4.099999905,4,7.800000191,31.39999962
1902-06-16 00:00:00,0,1.5,12.10000038,0.200000003,0,1.200000048,0.200000003,0.600000024,3.799999952,2.100000143,310.7000122,1.5,1.700000048,0,3.5,0,8.800000191,2.400000095,1.5,51.70000076,5,2.200000048,1.899999976,4,0.300000012,15.30000019,1.200000048,5,1.800000072,2.200000048,5.5
1902-07-16 00:00:00,0,3.600000143,4.300000191,0.900000036,0,0.600000024,0.699999988,1.100000024,14.80000019,8.5,656,42.90000153,1.300000072,0,101.7000046,0,1.899999976,57.29999924,10.40000057,19.30000114,2.600000143,62.20000076,36.90000153,2,1.200000048,6.200000286,37.29999924,0.800000012,0.600000024,3.700000048,29.30000114
1902-08-16 00:00:00,0,0.200000003,37.79999924,2.600000143,0,0.900000036,3.600000143,0,5.099999905,0.300000012,384,1.600000024,0.200000003,0,17,1.200000048,3.299999952,8.600000381,0.200000003,0.300000012,0.400000006,9.699999809,0.400000006,0,0.300000012,12.5,0.600000024,0.300000012,0.100000001,4.200000286,10.69999981
1902-09-16 00:00:00,0.100000001,0.100000001,121.8000031,0.699999988,0,0,3.600000143,0,11.19999981,0.100000001,710.1000366,8.699999809,0.5,0,84.09999847,0.5,9.300000191,36.70000076,0.400000006,5.800000191,0.400000006,57.90000153,0.100000001,0,0,27.5,1.800000072,0,0,0.300000012,34.29999924
1902-10-16 00:00:00,5.400000095,16.39999962,122,1.5,27.80000114,3,22.80000114,1.600000024,23.30000114,17.5,54.90000153,82.20000458,22.30000114,8.800000191,237.6999969,33.60000229,39.40000153,128.1000061,42.5,91.5,19.39999962,121.3000031,5.900000095,1.800000072,4.900000095,40.29999924,34,3.700000048,0.5,1.700000048,85.5
1902-11-16 00:00:00,73.09999847,78.30000305,109.2000046,5.5,117.0999985,9.400000572,42.60000229,17.5,41.70000076,65.90000153,4.200000286,128.6000061,53.5,36.79999924,233,31.30000114,49.70000076,142.8000031,114.7000046,282.3999939,44,173.5,21.80000114,30.39999962,122.8000031,46.29999924,75.40000153,107.8000031,4.800000191,4.200000286,91.09999847
1902-12-16 00:00:00,66.20000458,43.29999924,23.70000076,25.20000076,51,20.10000038,26.80000114,30.39999962,23.39999962,30.20000076,1.200000048,18.70000076,62.5,15.69999981,27.70000076,27.89999962,15,22.39999962,39.60000229,92.70000458,52,32.5,7.099999905,63,75.20000458,13.60000038,12.90000057,68.90000153,21.5,9.300000191,24.70000076
1903-01-16 00:00:00,47.60000229,40.60000229,42.79999924,38.90000153,8.199999809,32.29999924,30,13.69999981,28.10000038,42.29999924,6.700000286,37.90000153,64,41.90000153,54.70000076,32.60000229,34.40000153,48.79999924,35.5,139.3000031,53.79999924,51.20000076,19.20000076,25.30000114,29.39999962,29.89999962,29.5,26.89999962,14.60000038,22,42.40000153
1903-02-15 00:00:00,24.20000076,63.60000229,44,45.60000229,28.10000038,32.79999924,34.5,11.19999981,38.20000076,80,8.400000572,87.59999847,66.30000305,15.80000019,99.90000153,25.20000076,42.5,88.40000153,64.59999847,133.8000031,56.29999924,92.5,53.40000153,10.30000019,12.90000057,34.70000076,74.90000153,10.10000038,7.800000191,25.30000114,56.29999924
1903-03-16 00:00:00,29.39999962,92.59999847,67.40000153,35.20000076,11.40000057,40.5,75.70000458,32.70000076,46.70000076,104.5,15.30000019,106.4000015,91.40000153,72.09999847,135.6000061,92.20000458,46.20000076,115.7000046,83.90000153,101,80.80000305,89.59999847,73,56.60000229,39.70000076,52,95.5,47.40000153,27.10000038,20,90
1903-04-16 00:00:00,20.89999962,47,57.10000229,12.90000057,14.5,33.5,15,11,21.70000076,63.70000076,39.5,43.40000153,73.40000153,6.200000286,53.79999924,17.30000114,46.70000076,56.79999924,28.80000114,52.60000229,72,23.5,37.90000153,28.60000038,47.20000076,49.90000153,43.79999924,50.90000153,10.5,15.40000057,61.10000229
1903-05-16 00:00:00,4.099999905,40,34.20000076,5.200000286,0,11.69999981,64.30000305,11.30000019,23.30000114,49.70000076,81.90000153,33.5,39.10000229,0.100000001,44.79999924,60.5,29.10000038,43.29999924,22.89999962,257,43.29999924,17.60000038,38.40000153,26.5,4.099999905,36.29999924,34.20000076,16.39999962,11.10000038,7.800000191,44
1903-06-16 00:00:00,0,0.5,37.40000153,0.200000003,0,1.200000048,9.100000381,0,5.400000095,1.5,527.7000122,0.600000024,1.700000048,0.200000003,6.900000095,1.399999976,16,3.600000143,0.100000001,72.90000153,5,3.400000095,1,0,0.200000003,32.20000076,0.400000006,0.600000024,0.600000024,2.200000048,8.600000381
1903-07-16 00:00:00,0,0.200000003,21.70000076,0.900000036,0,0.600000024,7.599999905,0,5.800000191,0.800000012,315.6000061,1.100000024,0.900000036,0,8.699999809,0.900000036,3.900000095,5.300000191,0.100000001,73.40000153,2.299999952,6.599999905,0.699999988,0,1.200000048,14.10000038,0.800000012,0.800000012,0.600000024,3.700000048,8.100000381
1903-08-16 00:00:00,0,5.200000286,36.70000076,2.600000143,0,0.699999988,3.700000048,1.300000072,17.20000076,2.900000095,434.6000061,56.20000076,0.200000003,0,137,0,2.700000048,70.80000305,34.60000229,15.90000057,0.400000006,109.0999985,14.60000038,2.799999952,1.600000024,10.80000019,24.89999962,11.40000057,2,4.200000286,34.5
